Round,Loss,Accuracy
1,0.4037266547040357,0.8650617283950618
2,0.1373401751532357,0.9496296296296296
3,0.08866386425991853,0.968395061728395
4,0.061656870337339076,0.9798765432098765
5,0.045865333144033155,0.9838888888888889
6,0.03642934543531593,0.9892592592592592
7,0.02901677868105802,0.9924691358024691
8,0.023182110251083646,0.9940123456790123
9,0.02466042252186056,0.9934567901234569
10,0.017441963391765195,0.9951234567901235
11,0.016329510637886888,0.9959259259259259
12,0.014889608555899554,0.9967901234567901
13,0.013797772121947861,0.997037037037037
14,0.01139782197645216,0.9975308641975308
15,0.01138417506817375,0.9974074074074074
16,0.008724329752562944,0.9983950617283951
17,0.009041503861893696,0.9985185185185186
18,0.011299420728962303,0.9979629629629629
19,0.008071116757614717,0.9985802469135803
20,0.008280046351189235,0.998641975308642
