Round,Loss,Accuracy
1,0.3494917291420451,0.8803703703703704
2,0.10055310243861916,0.9723456790123457
3,0.06338357575572072,0.9856172839506172
4,0.04636782807062878,0.9914197530864198
5,0.04914197121164532,0.990925925925926
6,0.0480884089577735,0.9921604938271605
7,0.03565837773771684,0.9948148148148149
8,0.03204409659642008,0.9962345679012344
9,0.03505956871439409,0.9951851851851852
10,0.03199222292629377,0.9958024691358025
11,0.0316591908708589,0.9969135802469137
12,0.037406608841027894,0.9957407407407407
13,0.027071899549883593,0.9970987654320989
14,0.024946497536992934,0.9977160493827161
15,0.03162836909620083,0.997037037037037
16,0.02885443376523404,0.9973456790123456
17,0.0191317620708376,0.9985185185185185
18,0.02800734653293548,0.9972839506172839
19,0.020601425832661457,0.9980864197530864
20,0.028381639531245742,0.9976543209876544
